"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","My List","1","0","Watchlist screen","0"
"0","","0","Parental Controls","2","0","PIN entry","0"
"0","","0","Video Playback","1","0","Player launch","0"
"0","","0","Subscription","1","0","Free user VIP gate","0"
"0","","0","Home Screen","1","0","","0"
"0","","0","Watch History","1","0","History after playback","0"
"0","","0","","1","0","","0"
"0","","0","Authentication","2","0","VIP user login","0"
"0","","0","Login","1","0","Wrong password","0"
"0","","0","Home Screen","1","0","D-pad navigation","0"
"0","","0","Video Playback","1","0","Player exit","0"
"0","","0","Authentication","2","0","Free user login","0"
"0","","0","Video Playback","1","0","Play / Pause","0"
"0","","0","My List","1","0","Add video from player overlay","0"
"0","","0","Profiles","1","0","Parents profile","0"
"0","","0","Profiles","1","0","Kids profile","0"
"0","","0","My List","1","0","Follow channel via channel detail","0"
